A10,Default
A124,Antonov Design Bureau (ADB)
A124MXU,Maximus Air Cargo (MXU)
A124POT,Polet Air Company (POT)
A124RFF,Russian Federation Air Force (RFF)
A124VDA,Volga-dnepr (VDA)
A148ADB,Antonov Design Bureau (ADB)
A148AGU,Angara Airlines (AGU)
A148AUI,Ukraine International Airlines (AUI)
A148CUB,Cubana (An-158) (CUB)
A148POT,Polet Air Company (POT)
A148SDM,Rossiya (SDM)
A225,Antonov Design Bureau (2010) (ADB)
A306AAW,Afriqiyah Airways (AAW)
A306AHKCRG,Air Hong Kong (cargo) (AHK)
A306AIB,Airbus Industrie (AIB)
A306BCS,European Air Transport (BCS)
A306BUH,Bursa Airlines VA (BUH)
A306CAL,China Airlines (CAL)
A306CES,China Eastern (CES)
A306CSN,China Southern Airlines (CSN)
A306CSNCRG,China Southern Airlines (cargo) (CSN)
A306DHL,DHL - Astar Air Cargo (DHL)
A306DLH,Deutsche Lufthansa (DLH)
A306ETDCRG,Etihad Airways (cargo) (ETD)
A306FDX,Federal Express (GE) (FDX)
A306FDX1,Federal Express (PW) (FDX)
A306IRA,Iran Air (IRA)
A306IRM,Mahan Air (IRM)
A306JAL,Japan Airlines (JAL)
A306KAC,Kuwait Airlines (KAC)
A306KAC2,State of Kuwait (KAC)
A306KAL,Korean Air (KAL)
A306LAA,Lybian Arab Airlines (LAA)
A306LIT,Littoral Airlines VA (LIT)
A306MON,Monarch (MON)
A306MSX,Egyptair Cargo (MSX)
A306OALOLD,Olympic Airlines (OAL)
A306OHY,OnurAir (OHY)
A306QTR,Qatar Airways (QTR)
A306QTRCRG,Qatar Airways (cargo) (QTR)
A306SUD,Sudan Airways (SUD)
A306SVA,Saudi Arabian Airlines (SVA)
A306TAR,Tunis Air (TAR)
A306THA,Thai Airways International (THA)
A306UAE,Emirates (UAE)
A306UPS,United Parcel Service (UPS)
A306VSW,Virtual Skyways VA (VSW)
A30BAIB,Airbus Industrie (AIB)
A30BAZA,Alitalia (AZA)
A30BBCS,European Air Transport (BCS)
A30BBCS2,European Air Transport (old colours) (BCS)
A30BDHL,Astar Air Cargo (DHL)
A30BDOA,Compania Dominicana de Aviacion (DOA)
A30BDOA2,Compania Dominicana de Aviacio (DOA)
A30BEAL,Eastern Air Lines (EAL)
A30BIRA,Iran Air (grey belly) (IRA)
A30BIRA2,Iran Air (white belly) (IRA)
A30BIRM,Mahan Air (IRM)
A30BITF,Air Inter (ITF)
A30BMSX,Egyptair Cargo (MSX)
A30BOHY,Onur Air (OHY)
A30BOLY,Olympic Aviation (OLY)
A30BPAA,Pan American Airways (PAA)
A30BSVA,Saudi Arabian Airlines (SVA)
A30BTAY,TNT Airways (TAY)
A30BTEJ,TAESA - Transportes Aereos Ejecutivos (TEJ)
A30BVIA,VIASA Venezolana (VIA)
A310AIB,Airbus Industrie (AIB)
A310AIC,Air India (AIC)
A310AICCRG,Air India (cargo) (AIC)
A310AME,Spanish Air Force (AME)
A310ARG,Aerolineas Argentinas (ARG)
A310BAF,Belgian Air Force (BAF)
A310CFC,Canadian Forces (15001) (CFC)
A310CFC2,Canadian Forces (15002) (CFC)
A310CSA,CSA-Lines (CSA)
A310DAH,Air Algerie (DAH)
A310DRD,Air Madrid (DRD)
A310FAF,Force Aerienne Francais (FAF)
A310FDX,Federal Express (-200) (FDX)
A310FDX2,Federal Express (-300) (FDX)
A310GAF,German Air Force (GAF)
A310GAF2,German Air Force (GAF)
A310HLF,Hapag Lloyd (HLF)
A310HLFTUI,Hapag Lloyd (HLF)
A310IFL,Interflug (IFL)
A310IRA,Iran Air (IRA)
A310IRM,Mahan (IRM)
A310IYE,Yemenia (IYE)
A310KAC,Kuwait Airways (KAC)
A310KYV,Cyprus Turkish Airlines (KYV)
A310LAA,Lybian Arab Airlines (LAA)
A310MPD,Air Comet (MPD)
A310PAA,Pan American Airways (PAA)
A310PIA,Pakistan International (PIA)
A310PIC,Pacific Airlines (PIC)
A310QSC,African Safari (QSC)
A310RJA,Royal Jordanian (RJA)
A310RKA,Air Afrique (RKA)
A310ROT,Tarom (ROT)
A310SAT,SATA Air Azores (SAT)
A310SBI,Siberia Airlines (Old Colours) (SBI)
A310SBI2,S7 Airlines (-300) (SBI)
A310SGX,Saga Airlines (SGX)
A310SUD,Sudan Airways (SUD)
A310TAP,Air Portugal (TAP)
A310TAPOLD,Transportes Aereos Portugueses (old colors) (TAP)
A310THY,Turkish Airlines (THY)
A310TSC,Air Transat (TSC)
A310UAE,Emirates (SkyCargo) (UAE)
A310UNO,United Nations Organization (UNO)
A310UZB,Uzbekistan Airways (UZB)
A310WHT,White (WHT)
A318A,Avianca (Default aircrat) (AVA)
A318AFR,Air France (AFR)
A318AFR2,Air France (AFR)
A318AIB,Airbus Industrie (AIB)
A318AIB2,Airbus (Default aircraft) (AIB)
A318AVA,Avianca (AVA)
A318AVA2,Avianca (Default aircrat) (AVA)
A318AXN,GRAlexandAIR.net VA (AXN)
A318B,Airbus (Default aircraft) (AIB)
A318BAW,British Airways (BAW)
A318CKY,Cloudsky Airways VA (CKY)
A318CTO,Air Catalonia VA (CTO)
A318FFT,Frontier Airlines (FFT)
A318HDU,Hamdus VA (HDU)
A318KZN,Air Nomad VA (KZN)
A318LAN,LAN Airlines (LAN)
A318LNE,LAN Ecuador (LNE)
A318MXA,Mexicana (MXA)
A318ONE,Avianca Brasil (ONE)
A318RJA,Jordanian Government (RJA)
A318ROT,Tarom (ROT)
A318SVW,Global Jet Luxembourg (SVW)
A318TJS,Tyrolean Jet Service (TJS)
A318UNA,Asia United Business Aviation (UNA)
A318AIB3,Airbus (Default aircraft) (AIB)
A318AVA3,Airbus (Default aircraft) (winglets) (AIB)
A319@RT,Royal Thai Air Force
A319@SG,Republique du Senegal (Pointe Sarène)
A319@TU,Turkish Government (TC-ANA)
A319@VG,Venezuelan Government
A319A,Airbus (Default aircraft) (AIB)
A319AAF,Aigle Azur (AAF)
A319AAL,American Airlines (AAL)
A319AAL2,American Airlines (AAL)
A319AAW,Afriqiyah Airways (AAW)
A319AAY,Allegiant Air (AAY)
A319ABQ,AirBlue (ABQ)
A319ACA,Air Canada (ACA)
A319ADR,Adria Airways (ADR)
A319AEE,Aegean Airlines (AEE)
A319AEE2,Aegean Airlines (Visit Greece) (AEE)
A319AFL,Aeroflot (AFL)
A319AFR,Air France (AFR)
A319AHY,Azerbaijan Airlines (Government) (AHY)
A319AHY2,Azerbaijan Airlines (AHY)
A319AIB,Airbus Industrie (AIB)
A319AIB2,Airbus (Default aircraft) (AIB)
A319AIC,Air India (AIC)
A319AMC,Air Malta (AMC)
A319AMC2,Air Malta (old colours) (AMC)
A319AMU,Air Macau (AMU)
A319ASL,Air Serbia (ASL)
A319AUA,Austrian Airlines (AUA)
A319AVA,Avianca (AVA)
A319AVA2,Avianca (Star Alliance) (AVA)
A319AWE,US Airways (AWE)
A319AZA,Alitalia (AZA)
A319B,United Airlines (Default aircraft) (UAL)
A319BAW,British Airways (BAW)
A319BAW2,British Airways (Dove) (BAW)
A319BEL,Brussels Airlines (BEL)
A319BEL2,Brussels Airlines (Star Alliance) (BEL)
A319BER,Air Berlin (BER)
A319BER2,Air Berlin (OLT Express) (BER)
A319BHA,Bohemia Airlines VA (BHA)
A319BHP,Belair (Air Berlin) (BHP)
A319BHP2,Belair (Air Berlin Hybrid) (BHP)
A319BKP,Bangkok Air (BKP)
A319BMA,British Midland (BMA)
A319BON,BH Airlines (BON)
A319BRS,Brazilian Air Force (Government) (BRS)
A319BTN,Bhutan Airlines (BTN)
A319BUH,Bursa Airlines VA (BUH)
A319CCA,Air China (CCA)
A319CCM,CCM Airlines (CCM)
A319CCM2,Air Corsica (clean) (CCM)
A319CEF,Czech Air Force (CEF)
A319CEL,Caeli VA (CEL)
A319CES,China Eastern (CES)
A319CKL,Caeli VA (CKL)
A319COL,Colonia Air VA (COL)
A319CSA,Czech Airlines (CSA)
A319CSC,Sichuan Airliners (CSC)
A319CSN,China Southern Airliners (CSN)
A319CTM,Armee de l'Air Francaise (CTM)
A319CTN,Croatia Airlines (CTN)
A319CTN2,Croatia Airlines (Star Alliance) (CTN)
A319CYJ,CanaryJet.com (CYJ)
A319CYP,Cyprus Airways (CYP)
A319DAL,Delta Airlines (DAL)
A319DCS,DC Aviation (D-ADNA)(DCS)
A319DCS2,DC Aviation (D-ACBN) (DCS)
A319DLH,Lufthansa (DLH)
A319DLH2,Lufthansa (Star Alliance) (DLH)
A319DNV,Donavia (DNV)
A319DRD,Air Madrid (DRD)
A319DRK,Druk AIR (DRK)
A319EBA,EuroBerlin VA (EBA)
A319EIN,Aer Lingus (EIN)
A319ELB,Ellinair (ELB)
A319ETD,Etihad Airways (ETD)
A319EWG,Eurowings (EWG)
A319EZS,easyJet Switzerland (EZS)
A319EZY2,easyJet (Unicef) (EZY)
A319EZY3,Easyjet (new colors) (EZY)
A319FFT,Frontier Airlines (FFT)
A319FFT2,Frontier Airlines (Eagle) (FFT)
A319FFT3,Frontier Airlines (Penguins) (FFT)
A319FFT4,Frontier Airlines (Pelican) (FFT)
A319FFT5,Frontier Airlines (Moose) (FFT)
A319FFT6,Frontier Airlines (Arara Azul - Brazilian Hyacinth Macaw) (FFT)
A319FFT7,Frontier Airlines (Mountain Goat) (FFT)
A319FFT8,Frontier Airlines (Duck) (FFT)
A319FFT9,Frontier Airlines (Gray Wolf) (FFT)
A319FIN,Finnair (FIN)
A319FIN2,Finnair (Oneworld) ((FIN)
A319FIN3,Finnair (silver bird) (FIN)
A319FLI,Atlantic Airways (FLI)
A319FWS,FlyAntilles Airways VA (FWS)
A319GAF,German Air Force (GAF)
A319GFA,Gulf Air (GFA)
A319GLG,Aerogal (GLG)
A319GLG3,Avianca Ecuador - Aerogal (GLG)
A319GLL,German-Lloyd VA (GLL)
A319GMI,Germania (GMI)
A319GMI2,Germania (Gambia Bird Hybrid) (GMI)
A319GMI3,Germania (Wheel Tug) (GMI)
A319GMI4,Germania (AJW Aviation) (GMI)
A319GWG,German Airwings VA (GWG)
A319GWI,Germanwings (GWI)
A319GWI2,Germanwings (park inn) (GWI)
A319GWI3,Germanwings (T-Mobile) (GWI)
A319GWI4,Germanwings (Baden-Wurternberg) (GWI)
A319HAY,Hamburg Airways (HAY)
A319HAY2,Hamburg Airways (condor) (HAY)
A319HAY3,Hamburg Airways (White livery) (HAY)
A319HHI,Hamburg International (HHI)
A319IBE,Iberia (IBE)
A319IBE2,Iberia (Oneworld) (IBE)
A319IBE3,Iberia (Retro) (IBE)
A319ISS,Meridiana (ISS)
A319IZM,IHY Izmir Airlines (IZM)
A319JET,Wind Jet (JET)
A319KAC2,Kuwait Airways (State of Kuwait) (KAC)
A319KKK,AtlasJet (KKK)
